rank,route_number,route_name,ridership,route_id,trips,riders per trip,route_type,max_capacity,perc_of_cap
175,312,St. Clair N.C.,70,47615,52,1.3461538462,1,36,0.0373931624
174,352,Lawrence West N.B.,79,47635,64,1.234375,1,36,0.0342881944
172,322,Coxwell N.B.,90,47620,73,1.2328767123,1,36,0.0342465753
170,308,Finch East N.B.,122,47613,100,1.22,1,36,0.0338888889
150,171,Mt. Dennis,420,47580,464,0.9051724138,1,36,0.0251436782
154,101,Downsview Park,292,47529,332,0.8795180723,1,36,0.0244310576
152,321,York Mills N.B.,342,47619,440,0.7772727273,1,36,0.0215909091
144,508,Lake Shore,911,47667,1303,0.6991557943,3,36,0.0052966348
165,99,Arrow  Road,184,47723,420,0.4380952381,3,36,0.0121693122
176,353,Steeles East N.B.,35,47636,81,0.4320987654,1,36,0.0120027435
