trip_id,shape_dist_traveled
32828689,11.2503
32828690,11.2503
32828691,11.2503
32828692,14.7594
32828693,14.7594
32828694,14.7594
32828695,14.7594
32828696,14.7594
32828697,14.7594
32828698,14.7594
32828699,14.7594
32828700,14.7594
32828701,14.7594
32828702,14.7594
32828703,14.7594
32828704,14.7594
32828705,14.7594
32828706,14.7594
32828707,14.7594
32828708,14.7594
32828709,14.7594
32828710,14.7594
32828711,14.7594
32828712,14.7594
32828713,14.7594
32828714,14.7594
32828715,14.7594
32828716,14.7594
32828717,14.7594
32828718,14.7594
32828719,14.7594
32828720,14.7594
32828721,14.7594
32828722,14.7594
32828723,14.7594
32828724,14.7594
32828725,14.7594
32828726,14.7594
32828727,14.7594
32828728,14.7594
32828729,14.7594
32828730,14.7594
32828731,14.7594
32828732,14.7594
32828733,14.7594
32828734,14.7594
32828735,14.7594
32828736,14.7594
32828737,14.7594
32828738,14.7594
32828739,14.7594
32828740,14.7594
32828741,14.7594
32828742,14.7594
32828743,14.7594
32828744,14.7594
32828745,14.7594
32828746,14.7594
32828747,14.7594
32828748,14.7594
32828749,14.7594
32828750,14.7594
32828751,14.7594
32828752,14.7594
32828753,14.7594
32828754,14.7594
32828755,14.7594
32828756,14.7594
32828757,14.7594
32828758,14.7594
32828759,14.7594
32828760,14.7594
32828761,14.7594
32828762,14.7594
32828763,14.7594
32828764,11.2503
32828765,14.7594
32828766,14.7594
32828767,14.7594
32828768,14.7594
32828769,14.7594
32828770,14.7594
32828771,14.7594
32828772,14.7594
32828773,14.7594
32828774,14.7594
32828775,14.7594
32828776,14.7594
32828777,14.7594
32828778,14.7594
32828779,14.7594
32828780,14.7594
32828781,14.7594
32828782,14.7594
32828783,14.7594
32828784,14.7594
32828785,14.7594
32828786,14.7594
32828787,14.7594
32828788,14.7594
32828789,14.7594
32828790,14.7594
32828791,14.7594
32828792,14.7594
32828793,14.7594
32828794,14.7594
32828795,14.7594
32828796,14.7594
32828797,14.7594
32828798,14.7594
32828799,14.7594
32828800,14.7594
32828801,14.7594
32828802,14.7594
32828803,14.7594
32828804,14.7594
32828805,14.7594
32828806,14.7594
32828807,14.7594
32828808,14.7594
32828809,14.7594
32828810,14.7594
32828811,14.7594
32828812,14.7594
32828813,14.7594
32828814,14.7594
32828815,14.7594
32828816,14.7594
32828817,14.7594
32828818,14.7594
32828819,14.7594
32828820,14.7594
32828821,14.7594
32828822,14.7594
32828823,14.7594
32828824,14.7594
32828825,14.7594
32828826,14.7594
32828827,14.7594
32828828,14.7594
32828829,14.7594
32828830,14.7594
32828831,14.7594
32828832,14.7594
32828833,14.7594
32828834,14.7594
32828835,14.7594
32828836,14.7594
32828837,14.7594
32828838,14.7594
32828839,14.7594
32828840,14.7594
32828841,14.7594
32828842,14.7594
32828843,14.7594
32828844,3.1165
32828845,3.1165
32828846,3.1165
32828847,11.2503
32828848,14.7594
32828849,11.2503
32828850,11.2503
32828851,14.7594
32828852,11.2503
32828853,11.2503
32828854,14.7594
32828855,11.2503
32828856,14.7594
32828857,14.7594
32828858,14.7594
32828859,11.2503
32828860,14.7594
32828861,11.2503
32828862,14.7594
32828863,14.7594
32828864,11.2503
32828865,14.7594
32828866,14.7594
32828867,14.7594
32828868,14.7594
32828869,14.7594
32828870,14.7594
32828871,14.7594
32828872,14.7594
32828873,14.7594
32828874,14.7594
32828875,14.7594
32828876,14.7594
32828877,14.7594
32828878,14.7594
32828879,14.7594
32828880,14.7594
32828881,14.7594
32828882,14.7594
32828883,14.7594
32828884,14.7594
32828885,14.7594
32828886,11.2503
32828887,11.2503
32828888,14.7594
32828889,14.7594
32828890,11.2503
32828891,0.971
32828892,3.1165
32828893,3.1165
32828894,3.1165
32828895,3.1165
32828896,3.1165
32828897,3.1165
32828898,3.1165
32828899,3.1165
32828900,3.1165
32828901,3.1165
32828902,3.1165
32828903,3.1165
32828904,11.834
32828905,14.7594
32828906,3.1165
32828907,14.8856
32828908,14.8856
32828909,14.8856
32828910,14.8856
32828911,14.8856
32828912,14.8856
32828913,14.8856
32828914,14.8856
32828915,14.8856
32828916,14.8856
32828917,14.8856
32828918,14.8856
32828919,14.8856
32828920,14.8856
32828921,14.8856
32828922,14.8856
32828923,14.1327
32828924,14.8856
32828925,14.8856
32828926,14.8856
32828927,14.8856
32828928,14.8856
32828929,14.8856
32828930,14.8856
32828931,14.8856
32828932,14.8856
32828933,14.8856
32828934,14.8856
32828935,14.8856
32828936,14.8856
32828937,14.8856
32828938,14.8856
32828939,14.8856
32828940,14.8856
32828941,14.8856
32828942,14.8856
32828943,14.8856
32828944,14.8856
32828945,14.8856
32828946,14.8856
32828947,14.8856
32828948,14.8856
32828949,14.8856
32828950,14.8856
32828951,14.8856
32828952,14.8856
32828953,14.8856
32828954,14.8856
32828955,14.8856
32828956,14.8856
32828957,14.8856
32828958,14.8856
32828959,14.8856
32828960,14.8856
32828961,14.8856
32828962,14.8856
32828963,14.8856
32828964,14.8856
32828965,14.8856
32828966,14.8856
32828967,14.8856
32828968,14.8856
32828969,14.8856
32828970,14.8856
32828971,14.8856
32828972,14.8856
32828973,14.8856
32828974,14.8856
32828975,14.8856
32828976,14.8856
32828977,14.8856
32828978,14.8856
32828979,14.8856
32828980,14.8856
32828981,14.8856
32828982,14.8856
32828983,14.8856
32828984,14.8856
32828985,14.8856
32828986,14.8856
32828987,14.8856
32828988,14.8856
32828989,14.8856
32828990,14.8856
32828991,14.8856
32828992,14.8856
32828993,14.8856
32828994,14.8856
32828995,14.8856
32828996,14.8856
32828997,14.8856
32828998,14.8856
32828999,14.8856
32829000,14.8856
32829001,14.8856
32829002,14.8856
32829003,14.8856
32829004,14.8856
32829005,14.8856
32829006,14.8856
32829007,14.8856
32829008,14.8856
32829009,14.8856
32829010,14.8856
32829011,14.8856
32829012,14.8856
32829013,14.8856
32829014,14.8856
32829015,14.8856
32829016,14.8856
32829017,14.8856
32829018,14.8856
32829019,14.8856
32829020,14.1327
32829021,14.8856
32829022,14.8856
32829023,14.8856
32829024,14.8856
32829025,14.8856
32829026,14.8856
32829027,14.1327
32829028,14.8856
32829029,14.8856
32829030,14.8856
32829031,14.8856
32829032,14.1327
32829033,14.8856
32829034,14.8856
32829035,14.1327
32829036,14.1327
32829037,14.8856
32829038,14.1327
32829039,14.8856
32829040,14.8856
32829041,14.8856
32829042,14.8856
32829043,14.8856
32829044,14.8856
32829045,14.8856
32829046,14.8856
32829047,14.8856
32829048,14.8856
32829049,14.8856
32829050,14.8856
32829051,14.8856
32829052,14.8856
32829053,14.8856
32829054,14.8856
32829055,14.8856
32829056,14.8856
32829057,14.8856
32829058,2.8596
32829059,2.8596
32829060,2.8596
32829061,2.8596
32829062,2.8596
32829063,14.8856
32829064,14.8856
32829065,14.8856
32829066,14.8856
32829067,14.8856
32829068,14.8856
32829069,14.8856
32829070,14.8856
32829071,14.8856
32829072,14.8856
32829073,14.8856
32829074,14.8856
32829075,14.8856
32829076,14.8856
32829077,14.8856
32829078,14.8856
32829079,14.8856
32829080,14.8856
32829081,14.8856
32829082,14.8856
32829083,14.8856
32829084,14.8856
32829085,14.8856
32829086,14.8856
32829087,14.8856
32829088,14.8856
32829089,14.8856
32829090,14.8856
32829091,14.8856
32829092,14.1327
32829093,14.8856
32829094,14.8856
32829095,14.8856
32829096,14.8856
32829097,2.8596
32829098,14.8856
32829099,14.8856
32829100,14.8856
32829101,14.8856
32829102,14.8856
32829103,14.8856
32829104,1.7284
32829105,14.1327
32829106,2.8596
32829107,2.8596
32829108,2.8596
32829109,14.8856
32829110,11.2503
32829111,11.2503
32829112,11.2503
32829113,3.1165
32829114,14.7594
32829115,11.2503
32829116,11.2503
32829117,3.1165
32829118,3.1165
32829119,3.1165
32829120,11.2503
32829121,3.1165
32829122,0.971
32829123,14.7594
32829124,14.7594
32829125,14.7594
32829126,14.7594
32829127,14.7594
32829128,14.7594
32829129,14.7594
32829130,14.7594
32829131,14.7594
32829132,14.7594
32829133,14.7594
32829134,14.7594
32829135,14.7594
32829136,14.7594
32829137,14.7594
32829138,14.7594
32829139,14.7594
32829140,14.7594
32829141,14.7594
32829142,14.7594
32829143,14.7594
32829144,14.7594
32829145,14.7594
32829146,14.7594
32829147,11.2503
32829148,14.7594
32829149,14.7594
32829150,14.7594
32829151,14.7594
32829152,14.7594
32829153,14.7594
32829154,14.7594
32829155,14.7594
32829156,14.7594
32829157,14.7594
32829158,14.7594
32829159,14.7594
32829160,14.7594
32829161,14.7594
32829162,14.7594
32829163,14.7594
32829164,14.7594
32829165,14.7594
32829166,14.7594
32829167,14.7594
32829168,3.1165
32829169,14.7594
32829170,14.7594
32829171,14.7594
32829172,14.7594
32829173,14.7594
32829174,14.7594
32829175,14.7594
32829176,14.7594
32829177,14.7594
32829178,14.7594
32829179,14.7594
32829180,14.7594
32829181,14.7594
32829182,14.7594
32829183,14.7594
32829184,14.7594
32829185,14.7594
32829186,14.7594
32829187,14.7594
32829188,14.7594
32829189,14.7594
32829190,14.7594
32829191,14.7594
32829192,14.7594
32829193,14.7594
32829194,14.7594
32829195,11.2503
32829196,14.7594
32829197,14.7594
32829198,14.7594
32829199,14.7594
32829200,14.7594
32829201,14.7594
32829202,14.7594
32829203,14.7594
32829204,14.7594
32829205,14.7594
32829206,14.7594
32829207,14.7594
32829208,14.7594
32829209,14.7594
32829210,14.7594
32829211,14.7594
32829212,14.7594
32829213,14.7594
32829214,14.7594
32829215,14.7594
32829216,14.7594
32829217,14.7594
32829218,14.7594
32829219,14.7594
32829220,14.7594
32829221,14.7594
32829222,14.7594
32829223,14.7594
32829224,14.7594
32829225,14.7594
32829226,14.7594
32829227,14.7594
32829228,14.7594
32829229,14.7594
32829230,14.7594
32829231,14.7594
32829232,14.7594
32829233,14.7594
32829234,14.7594
32829235,14.7594
32829236,14.7594
32829237,14.7594
32829238,14.7594
32829239,14.7594
32829240,14.7594
32829241,14.7594
32829242,14.7594
32829243,14.7594
32829244,14.7594
32829245,14.7594
32829246,14.7594
32829247,14.7594
32829248,14.7594
32829249,14.7594
32829250,14.7594
32829251,14.7594
32829252,14.7594
32829253,14.7594
32829254,14.7594
32829255,14.7594
32829256,14.7594
32829257,14.7594
32829258,14.7594
32829259,14.7594
32829260,14.7594
32829261,14.7594
32829262,14.7594
32829263,14.7594
32829264,14.7594
32829265,14.7594
32829266,14.7594
32829267,14.7594
32829268,14.7594
32829269,14.7594
32829270,14.7594
32829271,14.7594
32829272,14.7594
32829273,14.7594
32829274,14.7594
32829275,14.7594
32829276,14.7594
32829277,14.7594
32829278,14.7594
32829279,11.2503
32829280,3.1165
32829281,3.1165
32829282,11.2503
32829283,11.2503
32829284,11.2503
32829285,11.2503
32829286,3.1165
32829287,3.1165
32829288,14.8856
32829289,14.8856
32829290,14.8856
32829291,1.7284
32829292,12.0363
32829293,14.8856
32829294,14.8856
32829295,14.8856
32829296,14.8856
32829297,14.8856
32829298,14.8856
32829299,14.8856
32829300,14.8856
32829301,14.8856
32829302,14.8856
32829303,14.8856
32829304,14.8856
32829305,14.8856
32829306,14.8856
32829307,14.8856
32829308,14.8856
32829309,14.8856
32829310,14.8856
32829311,14.8856
32829312,14.8856
32829313,14.8856
32829314,14.8856
32829315,14.8856
32829316,14.8856
32829317,14.8856
32829318,14.8856
32829319,14.8856
32829320,14.8856
32829321,14.8856
32829322,14.8856
32829323,14.8856
32829324,14.8856
32829325,14.8856
32829326,14.8856
32829327,14.8856
32829328,14.8856
32829329,14.8856
32829330,14.8856
32829331,14.8856
32829332,14.8856
32829333,14.8856
32829334,14.8856
32829335,14.8856
32829336,14.8856
32829337,14.8856
32829338,14.8856
32829339,14.8856
32829340,14.8856
32829341,14.8856
32829342,14.8856
32829343,14.8856
32829344,14.8856
32829345,14.8856
32829346,14.8856
32829347,14.8856
32829348,14.8856
32829349,14.8856
32829350,14.8856
32829351,14.8856
32829352,14.8856
32829353,14.8856
32829354,14.8856
32829355,14.1327
32829356,14.8856
32829357,14.8856
32829358,14.1327
32829359,14.8856
32829360,14.8856
32829361,14.8856
32829362,14.8856
32829363,14.8856
32829364,14.8856
32829365,14.8856
32829366,14.8856
32829367,14.8856
32829368,14.8856
32829369,14.8856
32829370,14.8856
32829371,14.8856
32829372,14.8856
32829373,14.8856
32829374,14.8856
32829375,14.8856
32829376,14.8856
32829377,14.8856
32829378,14.8856
32829379,14.8856
32829380,14.8856
32829381,14.8856
32829382,14.8856
32829383,14.8856
32829384,14.8856
32829385,14.8856
32829386,14.8856
32829387,14.8856
32829388,14.8856
32829389,14.8856
32829390,14.8856
32829391,14.8856
32829392,14.8856
32829393,14.8856
32829394,14.8856
32829395,14.8856
32829396,14.8856
32829397,14.8856
32829398,14.8856
32829399,14.8856
32829400,14.8856
32829401,14.8856
32829402,14.8856
32829403,14.8856
32829404,14.8856
32829405,14.8856
32829406,14.8856
32829407,14.8856
32829408,14.8856
32829409,14.8856
32829410,14.8856
32829411,14.8856
32829412,14.8856
32829413,14.8856
32829414,14.8856
32829415,14.8856
32829416,14.8856
32829417,14.8856
32829418,14.8856
32829419,14.8856
32829420,14.8856
32829421,14.8856
32829422,14.8856
32829423,14.8856
32829424,14.8856
32829425,14.8856
32829426,14.8856
32829427,14.8856
32829428,14.8856
32829429,14.8856
32829430,14.8856
32829431,14.8856
32829432,14.8856
32829433,14.8856
32829434,14.8856
32829435,14.8856
